sample	totalRP	filtdRP	pctRP	totBP	filtdBP	pctBP
001-S	42848	40623	94.8%	12372363	9581310	77.4%
013-S	51047	49929	97.8%	15000247	11837042	78.9%
030-S	25549	24443	95.7%	7412399	5818972	78.5%
043-S	48541	44978	92.7%	13776811	10596166	76.9%
050-S	27336	25945	94.9%	7785090	6054483	77.8%
063-S	51385	50377	98.0%	15265280	12058053	79.0%
071-S	68446	67103	98.0%	20242459	16033251	79.2%
077-S	72492	70537	97.3%	21333407	16807976	78.8%
094-S	235595	225176	95.6%	69888059	53935141	77.2%
098-S	157717	155531	98.6%	46381825	36728623	79.2%
104-S	94025	86428	91.9%	26796798	20283771	75.7%
108-S	69464	66378	95.6%	19952496	15530243	77.8%
115-S	112644	110102	97.7%	33785501	26508327	78.5%
116-S	53195	52464	98.6%	15855715	12616161	79.6%
122-S	42741	41405	96.9%	12764906	9947252	77.9%
Undetermined-1	247466	42255	17.1%	71031671	9814903	13.8%
