sample	initial	primtrim	qltfilter	dadafwds	dadarevs	dadamerge	lenfilter	chimremove	pct_remain
001-S	42848	40623	39086	39069	39070	38854	38854	37581	87.7%
013-S	51047	49929	48197	48186	48166	48083	48083	47466	93.0%
030-S	25549	24443	23872	23871	23858	23808	23808	23533	92.1%
043-S	48541	44978	42960	42942	42836	42462	42459	42187	86.9%
050-S	27336	25945	24550	24533	24516	24415	24378	23578	86.3%
063-S	51385	50377	49476	49452	49341	49076	49076	48123	93.7%
071-S	68446	67103	65972	65866	65749	65362	65362	63738	93.1%
077-S	72492	70537	68792	68662	68677	67904	67904	64733	89.3%
094-S	235595	225176	216399	216302	213677	210380	210380	206938	87.8%
098-S	157717	155531	149712	149689	149663	149027	149027	143830	91.2%
104-S	94025	86428	81382	81320	80553	79932	79932	78697	83.7%
108-S	69464	66378	62949	62913	62936	62709	62709	59426	85.5%
115-S	112644	110102	107497	107420	105718	103054	103054	100259	89.0%
116-S	53195	52464	51982	51956	51897	51791	51791	49757	93.5%
122-S	42741	41405	40457	40411	40007	39490	39490	38532	90.2%
Undetermined-1	247466	42255	34821	34278	33245	30700	30700	30538	12.3%
