sample	initial	primtrim	qltfilter	dadafwds	dadarevs	dadamerge	lenfilter	chimremove	gmmdenoise	pct_remain
001-S	42848	40623	39086	39069	39070	38854	38854	37581	37177	86.8%
013-S	51047	49929	48197	48186	48166	48083	48083	47466	47330	92.7%
030-S	25549	24443	23872	23871	23858	23808	23808	23533	23218	90.9%
043-S	48541	44978	42960	42942	42836	42462	42459	42187	40961	84.4%
050-S	27336	25945	24550	24533	24516	24415	24378	23578	22865	83.6%
063-S	51385	50377	49476	49452	49341	49076	49076	48123	46355	90.2%
071-S	68446	67103	65972	65866	65749	65362	65362	63738	62114	90.7%
077-S	72492	70537	68792	68662	68677	67904	67904	64733	63434	87.5%
094-S	235595	225176	216399	216302	213677	210380	210380	206938	203819	86.5%
098-S	157717	155531	149712	149689	149663	149027	149027	143830	143159	90.8%
104-S	94025	86428	81382	81320	80553	79932	79932	78697	77191	82.1%
108-S	69464	66378	62949	62913	62936	62709	62709	59426	59426	85.5%
115-S	112644	110102	107497	107420	105718	103054	103054	100259	96336	85.5%
116-S	53195	52464	51982	51956	51897	51791	51791	49757	49509	93.1%
122-S	42741	41405	40457	40411	40007	39490	39490	38532	37982	88.9%
Undetermined-1	247466	42255	34821	34278	33245	30700	30700	30538	30450	12.3%
