sample	totalRP	filtdRP	pctRP	totBP	filtdBP	pctBP
001-N	19663	9044	46.0%	3156460	883890	28.0%
001-P	226280	222610	98.4%	67544124	53457773	79.1%
002-S	202301	197163	97.5%	59899975	47105677	78.6%
003-S	19353	10712	55.4%	3070715	1025516	33.4%
004-S	211854	206894	97.7%	63155970	49812363	78.9%
005-S	188575	185009	98.1%	55689945	43958434	78.9%
006-S	200439	194785	97.2%	59205656	46557467	78.6%
007-S	112705	109273	97.0%	33132455	25944665	78.3%
008-S	188327	185570	98.5%	56125832	44431642	79.2%
009-S	163478	159048	97.3%	48458479	38112087	78.6%
010-S	237694	230432	96.9%	70348956	55282153	78.6%
011-N	20154	10942	54.3%	3006907	1019441	33.9%
011-S	135285	131225	97.0%	39863795	31283716	78.5%
012-S	159076	148997	93.7%	45543076	34947060	76.7%
014-S	200668	194574	97.0%	59231633	46505660	78.5%
015-S	104172	91316	87.7%	27894760	20363493	73.0%
016-S	169868	161830	95.3%	49287822	38174360	77.5%
017-S	134946	126355	93.6%	38556868	29603078	76.8%
018-S	67961	60076	88.4%	18388700	13603747	74.0%
019-S	87923	76838	87.4%	23702983	17260279	72.8%
020-S	152617	144528	94.7%	43881363	33904161	77.3%
021-N	20797	8430	40.5%	3233328	803203	24.8%
021-P	102936	88508	86.0%	27428392	19974323	72.8%
022-S	46	42	91.3%	13059	10143	77.7%
023-S	123824	113925	92.0%	35076294	26670417	76.0%
024-S	343088	337041	98.2%	102298683	80984257	79.2%
025-S	223648	212297	94.9%	64522435	50063222	77.6%
026-S	207340	204099	98.4%	61884616	49024490	79.2%
027-S	55455	47678	86.0%	14647100	10529136	71.9%
028-S	216689	210168	97.0%	63772116	49998513	78.4%
029-S	206268	201079	97.5%	61155464	48154744	78.7%
031-N	26759	13864	51.8%	4512042	1817348	40.3%
031-S	328059	320288	97.6%	97492816	76898386	78.9%
032-S	176617	173936	98.5%	52815221	41827154	79.2%
033-S	279084	273881	98.1%	83160885	65727502	79.0%
034-S	215927	212008	98.2%	64344959	50862689	79.0%
035-S	304077	298078	98.0%	90603543	71592091	79.0%
036-S	284839	280744	98.6%	85314118	67652451	79.3%
037-S	312812	309518	98.9%	94011719	74726888	79.5%
038-S	299886	295811	98.6%	89866395	71288171	79.3%
039-S	157887	154881	98.1%	47123059	37253154	79.1%
040-S	166294	162487	97.7%	49424309	38984945	78.9%
041-N	17147	6397	37.3%	2621886	586696	22.4%
041-S	408990	404130	98.8%	122681970	97392132	79.4%
042-S	546420	537028	98.3%	163098806	129046682	79.1%
044-S	350515	347667	99.2%	105538076	83982755	79.6%
045-S	396466	392167	98.9%	119185354	94717961	79.5%
046-S	304370	301306	99.0%	91459110	72696671	79.5%
047-S	392489	387650	98.8%	117552177	93295453	79.4%
048-S	294874	291249	98.8%	88469227	70266627	79.4%
049-S	399658	396424	99.2%	120340304	95791017	79.6%
051-N	22208	9606	43.3%	3389100	916977	27.1%
051-S	351902	345674	98.2%	105126819	83241979	79.2%
052-S	74778	67224	89.9%	20484423	15271568	74.6%
053-S	74738	69086	92.4%	20829485	15760347	75.7%
054-S	68758	58403	84.9%	17995102	12792361	71.1%
055-S	109158	104534	95.8%	31706956	24641700	77.7%
056-S	75489	69953	92.7%	21088244	15988532	75.8%
057-S	50596	41009	81.1%	12791944	8801668	68.8%
058-S	157373	152138	96.7%	46197878	36173954	78.3%
059-S	19905	11171	56.1%	3536101	1467244	41.5%
060-S	102492	94957	92.6%	28922787	21967794	76.0%
061-N	15064	7102	47.1%	2244526	652449	29.1%
061-S	164336	157133	95.6%	47969529	37321498	77.8%
062-S	303730	302163	99.5%	91598424	73005400	79.7%
064-S	271781	269464	99.1%	81568044	64830145	79.5%
065-S	264013	262611	99.5%	79620945	63464382	79.7%
066-S	356820	354838	99.4%	107612891	85765824	79.7%
067-S	304465	302826	99.5%	91789350	73168675	79.7%
068-S	370220	367828	99.4%	111404915	88723611	79.6%
069-S	346963	344620	99.3%	104514573	83252463	79.7%
070-S	407706	404428	99.2%	122823153	97745976	79.6%
072-S	471346	467359	99.2%	141550187	112598497	79.5%
073-S	340526	336963	99.0%	102268438	81253823	79.5%
074-S	217763	215898	99.1%	65559078	52158419	79.6%
075-S	227224	225582	99.3%	68496330	54564435	79.7%
076-S	273232	270401	99.0%	82079047	65245574	79.5%
078-S	215690	214601	99.5%	65077681	51883100	79.7%
079-S	322231	320140	99.4%	97194185	77430952	79.7%
080-S	265510	263518	99.2%	79959014	63651709	79.6%
081-N	16725	7836	46.9%	2582780	751177	29.1%
081-S	280217	277240	98.9%	84309248	67003725	79.5%
082-S	300073	297020	99.0%	90208130	71680085	79.5%
083-S	546394	543287	99.4%	164863642	131395981	79.7%
PCR-NC-1	20391	9984	49.0%	3184127	953007	29.9%
PCR-NC-2	16172	6724	41.6%	2438899	618727	25.4%
PCR-NC-3	20080	10178	50.7%	3086996	967220	31.3%
PCR-NC-4	11293	3989	35.3%	1683280	386693	23.0%
Undetermined-2	2210905	1062544	48.1%	631679204	252204866	39.9%
