sample	initial	primtrim	qltfilter	dadafwds	dadarevs	dadamerge	lenfilter	chimremove	pct_remain
022-S-2	0	0	0	0	0	0	0	0	NA
084-S	18272	17882	17670	17647	17655	17574	17574	17345	94.9%
085-S	37392	36630	36257	36254	36245	36167	36167	35864	95.9%
086-S	45988	44762	44133	44129	44118	44038	44038	42639	92.7%
087-S	21100	20342	19815	19815	19797	19772	19772	19478	92.3%
088-S	42071	40855	40540	40536	40515	40464	40464	40175	95.5%
089-S	46932	46022	45712	45707	45689	45632	45632	45154	96.2%
090-S	23862	23538	23414	23400	23401	23380	23380	23111	96.9%
091-S	27953	27585	27442	27396	27428	27326	27326	26712	95.6%
092-S	24436	23760	23413	23406	23401	23370	23370	22914	93.8%
093-S	26291	25708	25391	25387	25351	25277	25277	24492	93.2%
095-S	24423	24059	23923	23907	23907	23879	23879	23450	96.0%
096-S	20696	19990	19628	19627	19621	19597	19597	18685	90.3%
097-S	19901	19067	18271	18266	18254	18212	18212	17602	88.4%
099-S	40426	39326	38804	38792	38787	38706	38706	37664	93.2%
100-S	42691	41366	40805	40798	40793	40758	40758	40364	94.5%
101-S	16976	16668	16470	16451	16456	16414	16414	15908	93.7%
102-S	12757	11363	10203	10201	10198	10197	10197	10197	79.9%
103-S	41458	40726	40429	40406	40405	40329	40329	39801	96.0%
105-S	15901	15401	15126	15125	15118	15093	15093	14415	90.7%
106-S	21424	20321	19862	19850	19845	19821	19821	19324	90.2%
107-S	29379	27928	27113	27108	27104	27096	27053	26614	90.6%
109-S	19192	18546	18324	18318	18309	18265	18265	17507	91.2%
110-S	16553	15916	15552	15544	15535	15518	15518	15072	91.1%
111-S	21426	21131	20973	20950	20948	20877	20877	19783	92.3%
112-S	48704	47230	46860	46857	46840	46737	46737	44975	92.3%
113-S	48393	47816	47615	47571	47570	47431	47431	43489	89.9%
114-S	31590	31120	30914	30909	30893	30817	30817	30270	95.8%
117-S	63622	62791	62240	62236	62223	62153	62153	60909	95.7%
118-S	64849	63634	63075	63067	63056	62879	62818	57980	89.4%
119-S	27745	27300	26977	26972	26969	26873	26873	24864	89.6%
120-S	34836	34112	33922	33918	33910	33772	33772	31606	90.7%
121-S	50534	49704	49571	49564	49498	49399	49399	47574	94.1%
123-N	3009	1204	4	2	1	0	0	0	0.0%
123-S	31536	30659	30505	30493	30476	30465	30465	30374	96.3%
124-S	29768	28997	28739	28737	28716	28678	28678	28082	94.3%
125-S	3381	764	24	23	18	2	2	2	0.1%
126-S	30654	29421	28638	28637	28625	28579	28579	28557	93.2%
127-S	15632	13760	11821	11819	11817	11817	11817	11817	75.6%
128-S	37919	36798	36026	36024	36016	35969	35969	35969	94.9%
129-S	4046	1938	4	3	3	3	3	3	0.1%
