sample	totalRP	filtdRP	pctRP	totBP	filtdBP	pctBP
022-S-2	0	0		0	0	
084-S	18272	17882	97.9%	5447113	4295397	78.9%
085-S	37392	36630	98.0%	11178196	8809472	78.8%
086-S	45988	44762	97.3%	13677412	10733360	78.5%
087-S	21100	20342	96.4%	6206930	4843196	78.0%
088-S	42071	40855	97.1%	12545850	9841826	78.4%
089-S	46932	46022	98.1%	14057532	11091400	78.9%
090-S	23862	23538	98.6%	7165870	5676769	79.2%
091-S	27953	27585	98.7%	8397841	6651116	79.2%
092-S	24436	23760	97.2%	7244529	5693001	78.6%
093-S	26291	25708	97.8%	7840392	6173275	78.7%
095-S	24423	24059	98.5%	7331788	5804055	79.2%
096-S	20696	19990	96.6%	6113492	4783932	78.3%
097-S	19901	19067	95.8%	5792906	4495074	77.6%
099-S	40426	39326	97.3%	12034049	9441670	78.5%
100-S	42691	41366	96.9%	12658699	9927561	78.4%
101-S	16976	16668	98.2%	5089565	4017790	78.9%
102-S	12757	11363	89.1%	3472587	2563669	73.8%
103-S	41458	40726	98.2%	12421214	9811016	79.0%
105-S	15901	15401	96.9%	4711780	3686812	78.2%
106-S	21424	20321	94.9%	6276108	4846968	77.2%
107-S	29379	27928	95.1%	8564143	6631032	77.4%
109-S	19192	18546	96.6%	5704407	4455466	78.1%
110-S	16553	15916	96.2%	4875443	3798558	77.9%
111-S	21426	21131	98.6%	6423698	5086714	79.2%
112-S	48704	47230	97.0%	14490057	11375902	78.5%
113-S	48393	47816	98.8%	14559178	11545063	79.3%
114-S	31590	31120	98.5%	9468441	7488582	79.1%
117-S	63622	62791	98.7%	19086576	15111854	79.2%
118-S	64849	63634	98.1%	19417130	15317631	78.9%
119-S	27745	27300	98.4%	8305219	6572427	79.1%
120-S	34836	34112	97.9%	10418873	8228467	79.0%
121-S	50534	49704	98.4%	15181477	12006098	79.1%
123-N	3009	1204	40.0%	483816	111357	23.0%
123-S	31536	30659	97.2%	9423219	7396496	78.5%
124-S	29768	28997	97.4%	8872631	6975359	78.6%
125-S	3381	764	22.6%	481802	75408	15.7%
126-S	30654	29421	96.0%	8952400	6973495	77.9%
127-S	15632	13760	88.0%	4140588	3013608	72.8%
128-S	37919	36798	97.0%	11176397	8754936	78.3%
129-S	4046	1938	47.9%	574158	142568	24.8%
130-S	23636	22387	94.7%	6734555	5145012	76.4%
131-S	15536	14725	94.8%	4481854	3460012	77.2%
132-S	26388	24979	94.7%	7660731	5896484	77.0%
133-N	3418	1355	39.6%	547811	122751	22.4%
133-S	24116	22815	94.6%	6952384	5353053	77.0%
134-S	8365	7747	92.6%	2395865	1821988	76.0%
135-S	11679	11477	98.3%	3485690	2752567	79.0%
136-S	25386	25175	99.2%	7612975	6047006	79.4%
137-S	19008	18584	97.8%	5641173	4442330	78.7%
138-S	16131	15852	98.3%	4826510	3813932	79.0%
139-S	19541	18766	96.0%	5803333	4524835	78.0%
140-S	24180	23943	99.0%	7247029	5747453	79.3%
141-S	12723	12362	97.2%	3789212	2975102	78.5%
142-N	3763	1739	46.2%	529575	143346	27.1%
142-S	26025	25277	97.1%	7762679	6091876	78.5%
143-S	28408	27888	98.2%	8490385	6698233	78.9%
144-S	21829	21402	98.0%	6510585	5130253	78.8%
145-S	26043	25434	97.7%	7737062	6087157	78.7%
146-S	29579	29337	99.2%	8917860	7087209	79.5%
147-S	51365	50923	99.1%	15504804	12318130	79.4%
148-S	60661	59989	98.9%	18274789	14495610	79.3%
149-S	52267	51767	99.0%	15773046	12521130	79.4%
150-S	25351	24948	98.4%	7594699	6005383	79.1%
151-S	40047	39008	97.4%	11967389	9410080	78.6%
152-S	24587	24302	98.8%	7406587	5874073	79.3%
153-S	41285	40746	98.7%	12421451	9835111	79.2%
154-S	21	20	95.2%	6104	4834	79.2%
155-S	46791	46302	99.0%	14073644	11161213	79.3%
156-S	2997	866	28.9%	494255	82235	16.6%
157-S	45424	45017	99.1%	13628545	10809924	79.3%
158-S	26208	25122	95.9%	7713837	5994729	77.7%
159-S	28618	28024	97.9%	8505141	6696842	78.7%
160-S	1659	1100	66.3%	442527	264496	59.8%
161-N	3559	171	4.8%	521011	15624	3.0%
161-S	40561	39782	98.1%	12071170	9542186	79.0%
162-S	15776	14760	93.6%	4630451	3554165	76.8%
163-S	43015	42612	99.1%	12945467	10274607	79.4%
164-S	57911	57121	98.6%	17375703	13767014	79.2%
165-S	38181	36536	95.7%	11244607	8749671	77.8%
166-S	24301	23740	97.7%	7253858	5712154	78.7%
167-S	29067	28109	96.7%	8646059	6771656	78.3%
168-S	28763	28162	97.9%	8525301	6723741	78.9%
169-S	18829	18279	97.1%	5531317	4322205	78.1%
170-S	41366	40589	98.1%	12357326	9764905	79.0%
171-S	66862	65772	98.4%	20099403	15911379	79.2%
172-N	2347	1032	44.0%	353834	87088	24.6%
172-S	41136	40617	98.7%	12366496	9796045	79.2%
PCR-NC-5	2583	1164	45.1%	399472	99284	24.9%
PCR-NC-6	3335	1614	48.4%	514406	146179	28.4%
PCR-NC-7	2810	803	28.6%	451465	73627	16.3%
PCR-NC-8	3093	1311	42.4%	460361	120046	26.1%
Undetermined-3	1574134	253068	16.1%	467780008	60270542	12.9%
