sample	totalRP	filtdRP	pctRP	totBP	filtdBP	pctBP
01-1	128821	127763	99.2%	38790440	30884627	79.6%
01-2	87209	86399	99.1%	26182354	20820220	79.5%
02-1	105069	104414	99.4%	31689144	25239618	79.6%
02-2	117221	116568	99.4%	35355924	28180900	79.7%
03-1	86477	85993	99.4%	26096709	20794695	79.7%
03-2	120286	119581	99.4%	36311739	28930902	79.7%
04-1	118832	118162	99.4%	35778129	28507629	79.7%
04-2	112363	111336	99.1%	33817881	26917821	79.6%
05-1	90689	90201	99.5%	27303096	21755903	79.7%
05-2	81373	80477	98.9%	24258386	19245475	79.3%
06-1	66185	65635	99.2%	19930465	15838980	79.5%
06-2	119923	119276	99.5%	36160442	28819436	79.7%
07-1	96989	96342	99.3%	29118666	23166196	79.6%
07-2	89503	88653	99.1%	26922282	21426682	79.6%
08-1	106164	105490	99.4%	31995810	25482524	79.6%
08-2	89998	88500	98.3%	26861538	21275323	79.2%
09-1	58	57	98.3%	17510	13789	78.7%
09-2	119749	119109	99.5%	36153657	28820372	79.7%
10-1	107511	106847	99.4%	32398283	25811264	79.7%
10-2	86780	85863	98.9%	26070198	20679013	79.3%
11-1	3	3	100.0%	905	725	80.1%
11-2	119516	118857	99.4%	35993677	28684813	79.7%
12-1	120024	119338	99.4%	36196561	28843643	79.7%
12-2	101696	100996	99.3%	30533004	24307315	79.6%
13-1	105141	104497	99.4%	31661310	25212197	79.6%
13-2	106765	105491	98.8%	32069107	25474885	79.4%
14-1	108108	107409	99.4%	32549174	25924330	79.6%
14-2	120883	117902	97.5%	36082595	28500028	79.0%
15-1	89863	88496	98.5%	26924337	21316593	79.2%
15-2	111753	110153	98.6%	33433050	26423356	79.0%
16-1	78608	76493	97.3%	23365921	18421126	78.8%
16-2	100316	98126	97.8%	29649849	23430307	79.0%
17-1	92214	90263	97.9%	26914342	21205159	78.8%
17-2	95313	92641	97.2%	28062147	22130052	78.9%
18-1	118687	116951	98.5%	35367224	28055387	79.3%
